12/05-14:47:12.318708 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927C0D,0xF2714EC3,,0x1F5,64,16,60126,104,106496,,,,
12/05-14:47:12.353306 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927C6D,0xF2714EEF,,0x1F5,64,16,60128,104,106496,,,,
12/05-14:47:12.379544 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927CCD,0xF2714F1B,,0x1F5,64,16,60130,104,106496,,,,
12/05-14:47:12.409619 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927D2D,0xF2714F47,,0x1F5,64,16,60132,104,106496,,,,
12/05-14:47:12.440108 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927D8D,0xF2714F73,,0x1F5,64,16,60134,104,106496,,,,
12/05-14:47:12.474067 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927DED,0xF2714F9F,,0x1F5,64,16,60136,104,106496,,,,
12/05-14:47:12.506571 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927E4D,0xF2714FCB,,0x1F5,64,16,60138,104,106496,,,,
12/05-14:47:12.531447 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927EAD,0xF2714FF7,,0x1F5,64,16,60140,104,106496,,,,
12/05-14:47:12.564407 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927F0D,0xF2715023,,0x1F5,64,16,60142,104,106496,,,,
12/05-14:47:12.596435 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927F6D,0xF271504F,,0x1F5,64,16,60144,104,106496,,,,
12/05-14:47:12.622365 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E927FCD,0xF271507B,,0x1F5,64,16,60146,104,106496,,,,
12/05-14:47:12.652409 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92802D,0xF27150A7,,0x1F5,64,16,60148,104,106496,,,,
12/05-14:47:13.694303 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92808D,0xF27150D3,,0x1F5,64,16,60150,104,106496,,,,
12/05-14:47:20.470807 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x6E,***AP***,0x8E179AA5,0x88E81CE5,,0x1F5,64,16,47619,96,98304,,,,
12/05-14:47:20.473272 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x86,***AP***,0x8E179D29,0x88E81CE5,,0x1F5,64,16,47624,120,122880,,,,
12/05-14:47:20.473464 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x86,***AP***,0x8E179F2D,0x88E81CE5,,0x1F5,64,16,47629,120,122880,,,,
12/05-14:47:20.480029 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x9E,***AP***,0x8E17A675,0x88E81CE5,,0x1F5,64,16,47637,144,147456,,,,
12/05-14:47:20.480180 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x9E,***AP***,0x8E17A7E5,0x88E81CE5,,0x1F5,64,16,47641,144,147456,,,,
12/05-14:47:20.480332 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x9E,***AP***,0x8E17A955,0x88E81CE5,,0x1F5,64,16,47645,144,147456,,,,
12/05-14:47:20.480569 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x9E,***AP***,0x8E17AB61,0x88E81CE5,,0x1F5,64,16,47650,144,147456,,,,
12/05-14:47:20.482536 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.153,33246,DC:A6:32:25:D8:43,00:24:9B:04:34:61,0x9E,***AP***,0x8E17BE11,0x88E81CE5,,0x1F5,64,16,47658,144,147456,,,,
12/05-14:47:23.968481 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x7E,***AP***,0x4E9280ED,0xF27150FF,,0x1F5,64,16,60152,112,114688,,,,
12/05-14:47:24.566414 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x86,***AP***,0x4E928155,0xF2715123,,0x1F5,64,16,60154,120,122880,,,,
12/05-14:47:24.572300 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x86,***AP***,0x4E9281CD,0xF2715123,,0x1F5,64,16,60156,120,122880,,,,
